rho,final_k,,,,,Mean,Std err (STD),ci hw,,SqErr,MSE,,nCMC,CMC Ratio
0.033980501,1,,,,,0.033914464,0.005436308,0.001065516,,2.58E-08,2.93E-05,,1108.644761,1804.00%
0.043160785,1,,,,,,,,,8.73E-05,,,,
0.038237306,1,,,,,,CI L,CI U,,1.95E-05,,,,
0.034333481,1,,,,,,0.032848947,0.03497998,,2.64E-07,,,,
0.034656533,1,,,,,,,,,7.00E-07,,,,
0.036501225,1,,,,,0.03382,,,,7.19E-06,,,,
0.037503598,1,,,,,,,,,1.36E-05,,,,
0.04031989,1,,,,,,,,,4.22E-05,,,,
0.028696697,1,,,,,,,,,2.62E-05,,,,
0.038258929,1,,,,,,,,,1.97E-05,,,,
0.043558352,1,,,,,,,,,9.48E-05,,,,
0.031747511,1,,,,,,,,,4.30E-06,,,,
0.034855394,1,,,,,,,,,1.07E-06,,,,
0.038306514,1,,,,,,,,,2.01E-05,,,,
0.033017024,1,,,,,,,,,6.45E-07,,,,
0.028031335,1,,,,,,,,,3.35E-05,,,,
0.040563343,1,,,,,,,,,4.55E-05,,,,
0.030562569,7,,,,,,,,,1.06E-05,,,,
0.030611487,1,,,,,,,,,1.03E-05,,,,
0.030071781,1,,,,,,,,,1.40E-05,,,,
0.037757866,1,,,,,,,,,1.55E-05,,,,
0.037874771,1,,,,,,,,,1.64E-05,,,,
0.034244476,1,,,,,,,,,1.80E-07,,,,
0.031161923,1,,,,,,,,,7.07E-06,,,,
0.035408526,1,,,,,,,,,2.52E-06,,,,
0.031177569,1,,,,,,,,,6.98E-06,,,,
0.040254742,1,,,,,,,,,4.14E-05,,,,
0.030058991,1,,,,,,,,,1.41E-05,,,,
0.03248001,1,,,,,,,,,1.80E-06,,,,
0.031353318,1,,,,,,,,,6.08E-06,,,,
0.040072474,1,,,,,,,,,3.91E-05,,,,
0.037365845,1,,,,,,,,,1.26E-05,,,,
0.03109594,1,,,,,,,,,7.42E-06,,,,
0.036743291,1,,,,,,,,,8.55E-06,,,,
0.040364918,1,,,,,,,,,4.28E-05,,,,
0.031339431,1,,,,,,,,,6.15E-06,,,,
0.032783475,1,,,,,,,,,1.07E-06,,,,
0.044308127,1,,,,,,,,,1.10E-04,,,,
0.035367042,1,,,,,,,,,2.39E-06,,,,
0.033448059,1,,,,,,,,,1.38E-07,,,,
0.022263748,1,,,,,,,,,1.34E-04,,,,
0.032833162,1,,,,,,,,,9.74E-07,,,,
0.038001585,1,,,,,,,,,1.75E-05,,,,
0.04046146,1,,,,,,,,,4.41E-05,,,,
0.026572255,1,,,,,,,,,5.25E-05,,,,
0.033435533,1,,,,,,,,,1.48E-07,,,,
0.032472992,1,,,,,,,,,1.81E-06,,,,
0.030322266,1,,,,,,,,,1.22E-05,,,,
0.035643697,1,,,,,,,,,3.33E-06,,,,
0.036261036,1,,,,,,,,,5.96E-06,,,,
0.041835995,1,,,,,,,,,6.43E-05,,,,
0.03873091,1,,,,,,,,,2.41E-05,,,,
0.026716045,1,,,,,,,,,5.05E-05,,,,
0.03013967,1,,,,,,,,,1.35E-05,,,,
0.034651724,1,,,,,,,,,6.92E-07,,,,
0.028865204,1,,,,,,,,,2.46E-05,,,,
0.033440388,1,,,,,,,,,1.44E-07,,,,
0.027234282,1,,,,,,,,,4.34E-05,,,,
0.031622659,1,,,,,,,,,4.83E-06,,,,
0.035006812,1,,,,,,,,,1.41E-06,,,,
0.039879716,1,,,,,,,,,3.67E-05,,,,
0.030707519,1,,,,,,,,,9.69E-06,,,,
0.03658,1,,,,,,,,,7.62E-06,,,,
0.031613502,1,,,,,,,,,4.87E-06,,,,
0.02538759,1,,,,,,,,,7.11E-05,,,,
0.032352198,1,,,,,,,,,2.15E-06,,,,
0.02728479,1,,,,,,,,,4.27E-05,,,,
0.029292295,1,,,,,,,,,2.05E-05,,,,
0.032041027,1,,,,,,,,,3.16E-06,,,,
0.038862197,1,,,,,,,,,2.54E-05,,,,
0.034520338,1,,,,,,,,,4.90E-07,,,,
0.020493124,1,,,,,,,,,1.78E-04,,,,
0.034944749,1,,,,,,,,,1.27E-06,,,,
0.035329778,1,,,,,,,,,2.28E-06,,,,
0.039196471,1,,,,,,,,,2.89E-05,,,,
0.045717172,1,,,,,,,,,1.42E-04,,,,
0.044414837,1,,,,,,,,,1.12E-04,,,,
0.031065613,1,,,,,,,,,7.59E-06,,,,
0.031315231,1,,,,,,,,,6.27E-06,,,,
0.032817853,1,,,,,,,,,1.00E-06,,,,
0.03843723,1,,,,,,,,,2.13E-05,,,,
0.037922245,1,,,,,,,,,1.68E-05,,,,
0.03262093,1,,,,,,,,,1.44E-06,,,,
0.025926444,1,,,,,,,,,6.23E-05,,,,
0.035386365,1,,,,,,,,,2.45E-06,,,,
0.035641167,1,,,,,,,,,3.32E-06,,,,
0.032506614,1,,,,,,,,,1.72E-06,,,,
0.020522761,1,,,,,,,,,1.77E-04,,,,
0.03233793,1,,,,,,,,,2.20E-06,,,,
0.031964081,1,,,,,,,,,3.44E-06,,,,
0.030535379,1,,,,,,,,,1.08E-05,,,,
0.038292535,1,,,,,,,,,2.00E-05,,,,
0.018875441,1,,,,,,,,,2.23E-04,,,,
0.04277505,1,,,,,,,,,8.02E-05,,,,
0.025161577,1,,,,,,,,,7.50E-05,,,,
0.043193781,1,,,,,,,,,8.79E-05,,,,
0.036353896,1,,,,,,,,,6.42E-06,,,,
0.033464948,1,,,,,,,,,1.26E-07,,,,
0.02231211,1,,,,,,,,,1.32E-04,,,,
0.035253404,1,,,,,,,,,2.05E-06,,,,
