rho,final_k,p
0.001666667,10,20
0,10,20
0.001666667,10,20
0.003333333,10,20
0.005,10,20
0,10,20
0.001666667,10,20
0.0025,10,20
0.001666667,10,20
0.004166667,10,20
0.000833333,10,20
0.001666667,10,20
0,10,20
0.000833333,10,20
0.000833333,10,20
0.0025,10,20
0.001666667,10,20
0.000833333,10,20
0.000833333,10,20
0.001666667,10,20
0.0025,10,20
0.000833333,10,20
0.001666667,10,20
0.003333333,10,20
0,10,20
0.0025,10,20
0.000833333,10,20
0.0025,10,20
0,10,20
0.000833333,10,20
0.001666667,10,20
0.000833333,10,20
0.0025,10,20
0.0025,10,20
0.000833333,10,20
0.0025,10,20
0,10,20
0.000833333,10,20
0.001666667,10,20
0,10,20
0.005833333,10,20
0.000833333,10,20
0.0025,10,20
0.000833333,10,20
0.001666667,10,20
0.000833333,10,20
0,10,20
0.0025,10,20
0,10,20
0.001666667,10,20
0.000833333,10,20
0.001666667,10,20
0.000833333,10,20
0.000833333,10,20
0.001666667,10,20
0.000833333,10,20
0.004166667,10,20
0,10,20
0.004166667,10,20
0.001666667,10,20
0.000833333,10,20
0.0025,10,20
0.004166667,10,20
0.001666667,10,20
0,10,20
0.000833333,10,20
0.0025,10,20
0,10,20
0.001666667,10,20
0,10,20
0.001666667,10,20
0,10,20
0,10,20
0.003333333,10,20
0,10,20
0.000833333,10,20
0.001666667,10,20
0.004166667,10,20
0.000833333,10,20
0.000833333,10,20
0,10,20
0.003333333,10,20
0,10,20
0.004166667,10,20
0.000833333,10,20
0.0025,10,20
0.0025,10,20
0.000833333,10,20
0,10,20
0.003333333,10,20
0.000833333,10,20
0.000833333,10,20
0.001666667,10,20
0.000833333,10,20
0.0025,10,20
0.001666667,10,20
0.003333333,10,20
0.001666667,10,20
5.553526933191541389e-315,10,20
0.003333333,10,20
