rho,final_k
1.0519433957610221503e-05,30
1.1193382919068250798e-05,28
2.0249290927859698069e-05,24
1.35253584512646186974e-05,30
8.2472523585745707514e-06,30
1.09323842131679256314e-05,25
8.0276763990239687304e-06,29
1.06192421355681473325e-05,29
1.2079557813779925933e-05,30
9.2494278140496099605e-06,30
1.2315781244980774631e-05,30
3.9502685116250921264e-06,29
1.1385416967989317896e-05,28
6.991232510352251269e-06,28
1.1670823070909916776e-05,28
9.190795044966019243e-06,27
1.29771116537759667065e-05,27
6.583731327247880097e-06,26
1.0656019044613729113e-05,30
1.0047833168917639661e-05,28
8.898199655227278658e-06,29
1.4810620863152969092e-05,30
1.0098414503605400335e-05,27
1.2292193118501644044e-05,27
6.7396677935480988154e-07,10
9.121548116610833321e-06,29
1.2730159936293001006e-05,27
1.1256594793736929459e-05,30
1.2397538301740310151e-05,27
1.0738926297595463435e-05,30
1.29936769162025872595e-05,25
7.1660738464609802385e-06,29
1.0769047726413232289e-05,30
1.003251772015856149e-05,29
1.24078148760251632775e-05,27
9.734195447214451745e-06,25
1.0255288673909823312e-05,29
1.1022497361517285841e-05,28
1.0052233458192373469e-05,30
1.2246895090182606668e-05,27
1.4768938802691923609e-05,26
9.5570826198208254354e-06,30
9.205290951059548185e-06,28
1.1198019863072745589e-05,30
1.1645257408347250114e-05,27
1.1170371567296445509e-05,30
1.0632884857537451998e-05,28
1.2089563603969302777e-05,27
9.418638686980944585e-06,29
1.2676887270200941592e-05,29
1.31787164020380106955e-05,29
1.1873818130874597619e-05,26
1.051221037354369719e-05,27
6.0960428968015032884e-06,25
1.1205226772874980652e-05,28
1.03540054368667405014e-07,25
1.1096018486946128012e-05,25
1.119868546677304593e-05,28
1.8933262299708905601e-08,28
1.1558324214188257738e-05,26
1.1911089227047343074e-05,26
1.0552981439772447769e-05,29
1.1843618312173665651e-05,29
1.5896451021011500518e-05,30
4.2651999362072952703e-05,26
8.70636232879939719e-06,22
1.14566581278752105814e-05,27
1.1645807156947968043e-05,23
1.2435440668197713825e-05,28
1.1625572905876432353e-05,27
6.8250477742007964755e-05,15
1.9365376638187403746e-06,27
3.8978165821515444356e-06,26
1.2210156392343237247e-05,27
1.1452537397441643701e-05,25
1.1169979507045627631e-05,27
1.2153433675630120629e-05,30
8.232137413327226931e-08,27
1.2717008923910090415e-05,27
1.0602936513286049826e-05,30
1.2758842038477060287e-05,30
1.2221147019338277953e-05,29
4.295160092505471671e-06,29
1.274709936805748934e-05,28
1.2135553760785447245e-05,28
1.20954694667011290665e-05,29
1.0456837188412027312e-05,29
1.2848236823080483136e-05,28
1.02076822103363577905e-05,28
1.1836094668285046715e-05,25
6.9047579942680298194e-06,26
1.1632852744373472274e-05,28
1.2875463313649785456e-05,30
4.557950442834906804e-06,27
1.0802559145193011573e-05,30
1.3010701603980031331e-05,26
1.1618534474284017248e-05,17
1.0679056914287530263e-05,29
5.714191811842139346e-06,25
1.2583265600386550192e-05,30
