rho,final_k
0.049902648463814255027,6
0.048748220889433048857,4
0.05010210987641066209,15
0.0478167487279811937,4
0.049566190658687791534,11
0.048072472021726074596,6
0.04974409498704385843,8
0.048907181113835200414,10
0.04876006065519253275,12
0.049259391321164806955,4
0.04764911286854372317,8
0.045847071864756467937,11
0.04891763899600024582,14
0.051748538332168006357,10
0.049495303181964396148,6
0.048069840594991586208,10
0.048594147452981848444,3
0.049617410273533666982,13
0.04856959769108918561,10
0.047137795300760973903,10
0.04791815710435560123,14
0.04940255314345275538,8
0.04811212008423668884,12
0.049266258754758113895,7
0.049756257796846252113,12
0.04889251142318919236,10
0.047962861077135904894,4
0.049090236466857600262,8
0.04782985362514325961,8
0.048860252621824771815,2
0.048860554928624926915,10
0.04971901603604904992,4
0.04908807163838057152,8
0.046153603512107334408,17
0.049266740464968743684,6
0.046876219352431971874,6
0.048829157075159047903,10
0.047593327025139101537,12
0.048250372272367001725,12
0.049476924209285708697,4
0.050803472701977883857,9
0.046808551236346297554,9
0.048990746175467549775,7
0.04957077242376248266,9
0.047738457068515353147,15
0.04853328602868586574,9
0.04720976785280836059,6
0.049497104279540354026,7
0.04900024602795978719,8
0.049675133692077948297,5
0.04863804302862246089,6
0.048952803045159461614,7
0.047939622200966450915,9
0.049740964935526146777,9
0.04843829530538238706,5
0.04723360395644377377,2
0.048940262004563311162,6
0.049278298745858020068,7
0.04860887372846580409,11
0.048591059067982856886,5
0.048735132231819787597,6
0.049265285326579363472,9
0.046456459407342659793,10
0.048908818777796171502,6
0.04901707968986317652,5
0.04878849696570077809,6
0.049531716992213873427,7
0.04757335514496605773,4
0.046455300193360985196,17
0.05136317242797842658,11
0.046468906203132217232,12
0.049382863556526675913,12
0.049320477959535493153,3
0.049918116577326286997,10
0.04942921966375490922,10
0.05051118345666402498,10
0.048294357599604716986,7
0.048232798181640968995,7
0.04848914927116249734,3
0.04907726471261648699,8
0.04714660814799434999,5
0.047580462664347247884,16
0.048428961193230386794,7
0.048135750469211098394,6
0.048637969255217718402,4
0.048404178518830350324,14
0.049205791496490020868,2
0.048059649031830090088,12
0.048268109538621118325,8
0.04853122320544002415,12
0.04948118168731579757,14
0.049397987535077940895,7
0.04774845488042852607,12
0.050631496769807676494,12
0.049220888959255953712,12
0.04818667037263603059,6
0.048656538628467573594,6
0.047294994067984209405,11
0.049380232244700423425,8
0.049032930407699850678,11
